id,first_name,last_name,email,city,age,economy,gender,spouse,spouse_customer,children,policy_name,Spouse_customer_Policy,Spouse_age,Spouse_economy
17,Dennis,Burton,dburtong@altervista.org,Na Muen,23,$398126.00,Male,no,no,1,Accidental Death Insurance,Accidental Death Insurance,36,$552217.78
18,Catherine,Stone,cstoneh@newsvine.com,Abbotsford,30,$974746.52,Female,yes,yes,1,Whole Life Insurance,Universal Life Insurance,26,$686066.20
19,Johnny,Henderson,jhendersoni@sphinn.com,Votuporanga,24,$447042.10,Male,no,yes,0,Universal Life Insurance,Whole Life Insurance,23,$986228.99
20,Margaret,Smith,msmithj@mozilla.org,Hongshanzui,44,$170636.82,Female,yes,no,0,Limited Pay Insurance,Term Insurance,40,$573658.67
21,Janice,Tucker,jtuckerk@people.com.cn,Mella,30,$40497.76,Female,yes,no,2,Endowment Insurance,Limited Pay Insurance,77,$20281.60
22,Julie,Meyer,jmeyerl@archive.org,Moose Jaw,62,$352060.06,Female,no,yes,0,Term Insurance,Endowment Insurance,66,$162547.76
23,Janet,Butler,jbutlerm@myspace.com,Atambua,55,$173689.42,Female,yes,yes,1,Limited Pay Insurance,Endowment Insurance,58,$231821.79
24,Matthew,Phillips,mphillipsn@cyberchimps.com,Kutampi,76,$487647.00,Male,yes,yes,1,Term Insurance,Endowment Insurance,72,$496008.65
25,Anna,Long,alongo@google.it,Jiangnan,68,$396777.98,Female,no,yes,0,Accidental Death Insurance,Whole Life Insurance,40,$587914.06
26,Gregory,Dunn,gdunnp@simplemachines.org,Hanamaki,75,$142945.89,Male,no,no,1,Universal Life Insurance,Universal Life Insurance,34,$808883.76
27,James,Lopez,jlopezq@etsy.com,Huaylillas,54,$703290.22,Male,no,yes,1,Universal Life Insurance,Universal Life Insurance,21,$159015.27
28,Martha,Kennedy,mkennedyr@vk.com,Comrat,35,$330787.13,Female,yes,no,1,Term Insurance,Accidental Death Insurance,50,$729604.63
29,Thomas,Kelly,tkellys@smh.com.au,Vondrozo,69,$729430.74,Male,no,no,2,Whole Life Insurance,Limited Pay Insurance,63,$108342.47
30,Tammy,Lawson,tlawsont@apache.org,Shipka,66,$535764.44,Female,yes,no,3,Whole Life Insurance,Limited Pay Insurance,68,$41566.40
31,Heather,Diaz,hdiazu@lycos.com,Yafan,41,$268333.61,Female,yes,yes,1,Accidental Death Insurance,Accidental Death Insurance,63,$276487.30
32,Joseph,Lawrence,jlawrencev@techcrunch.com,Zagórnik,44,$759869.24,Male,yes,yes,2,Term Insurance,Limited Pay Insurance,58,$398611.21
33,Jose,Patterson,jpattersonw@mapquest.com,Coronel Belisle,25,$785751.69,Male,yes,no,2,Endowment Insurance,Accidental Death Insurance,73,$674155.78
34,Tina,Myers,tmyersx@ed.gov,Al Wāsiţah,68,$834569.54,Female,yes,no,2,Accidental Death Insurance,Limited Pay Insurance,72,$674722.28
35,Amanda,Wheeler,awheelery@vk.com,Brunflo,39,$949675.36,Female,no,no,0,Term Insurance,Limited Pay Insurance,74,$307941.02
36,Cheryl,Ross,crossz@twitpic.com,Australia Square,55,$577359.84,Female,no,yes,2,Universal Life Insurance,Universal Life Insurance,29,$463843.13
37,Keith,Jenkins,kjenkins10@reverbnation.com,Buenlag,64,$869299.96,Male,yes,no,3,Endowment Insurance,Term Insurance,52,$923182.74
38,Ruth,Harper,rharper11@ted.com,Lambangan Kulon,39,$965358.77,Female,no,no,2,Endowment Insurance,Term Insurance,78,$550552.81
39,Elizabeth,Mitchell,emitchell12@unc.edu,Yangzi,45,$971362.69,Female,yes,no,2,Endowment Insurance,Term Insurance,70,$797368.63
40,Susan,Walker,swalker13@stanford.edu,Vénissieux,77,$760488.52,Female,no,yes,0,Accidental Death Insurance,Endowment Insurance,48,$798094.52
41,Linda,Fisher,lfisher14@sciencedaily.com,Donggang,71,$709359.06,Female,no,yes,3,Accidental Death Insurance,Accidental Death Insurance,71,$671825.24
42,Rachel,Vasquez,rvasquez15@mozilla.org,Vista Hermosa,48,$386729.59,Female,no,yes,2,Endowment Insurance,Universal Life Insurance,28,$231273.67
43,David,Rose,drose16@discuz.net,Sangari,66,$813649.97,Male,yes,no,3,Endowment Insurance,Accidental Death Insurance,54,$272527.42
44,Benjamin,Carr,bcarr17@seesaa.net,Mizunami,63,$409773.10,Male,no,yes,1,Endowment Insurance,Whole Life Insurance,43,$216309.47
45,Laura,Peterson,lpeterson18@is.gd,Divača,48,$34792.80,Female,yes,yes,2,Accidental Death Insurance,Universal Life Insurance,67,$121174.02
46,Alan,Hunter,ahunter19@sbwire.com,Las Flores,52,$935484.86,Male,yes,yes,3,Accidental Death Insurance,Accidental Death Insurance,33,$34324.27
47,Stephen,Shaw,sshaw1a@sina.com.cn,Curitibanos,75,$583613.59,Male,yes,yes,2,Accidental Death Insurance,Limited Pay Insurance,71,$847383.54
48,Harold,Moreno,hmoreno1b@icio.us,Bačka Topola,74,$632226.73,Male,yes,no,1,Term Insurance,Term Insurance,48,$414809.62
49,Todd,Peters,tpeters1c@sciencedirect.com,Jiangxi,78,$950134.48,Male,no,yes,3,Term Insurance,Limited Pay Insurance,28,$427512.19
50,Bruce,Hernandez,bhernandez1d@usnews.com,Daejeon,29,$356452.16,Male,yes,no,0,Limited Pay Insurance,Whole Life Insurance,42,$955300.30
51,Arthur,Watkins,awatkins1e@behance.net,Daru Rilwan,33,$207895.16,Male,yes,yes,0,Accidental Death Insurance,Endowment Insurance,34,$755204.81
52,Jimmy,Perez,jperez1f@shop-pro.jp,Heiiyugou,42,$16938.55,Male,yes,yes,3,Whole Life Insurance,Accidental Death Insurance,45,$887572.09
53,Jason,Lawrence,jlawrence1g@live.com,Stuttgart,38,$921335.12,Male,yes,yes,1,Endowment Insurance,Accidental Death Insurance,32,$75792.39
54,Annie,Tucker,atucker1h@tinypic.com,Ambunti,37,$700738.95,Female,no,no,3,Endowment Insurance,Whole Life Insurance,30,$613975.77
55,Cynthia,Powell,cpowell1i@google.ru,Gromadka,76,$848104.00,Female,yes,yes,3,Term Insurance,Accidental Death Insurance,76,$761788.26
56,Marilyn,Porter,mporter1j@etsy.com,Daohe,30,$366553.36,Female,yes,no,2,Limited Pay Insurance,Universal Life Insurance,26,$924487.50
57,Jason,Mitchell,jmitchell1k@cisco.com,Itajuípe,80,$444492.23,Male,yes,no,0,Endowment Insurance,Endowment Insurance,22,$883484.24
58,Brenda,Mason,bmason1l@dmoz.org,Vranje,45,$412795.24,Female,no,yes,1,Endowment Insurance,Term Insurance,50,$32404.73
59,Jack,Dixon,jdixon1m@slate.com,Stockholm,20,$364515.66,Male,yes,no,2,Universal Life Insurance,Term Insurance,37,$681757.41
60,Samuel,Anderson,sanderson1n@hibu.com,Jikamshi,45,$217896.26,Male,no,yes,2,Whole Life Insurance,Universal Life Insurance,80,$40996.81
61,Henry,Garrett,hgarrett1o@about.me,Zhuanqiang,48,$970625.36,Male,no,yes,1,Whole Life Insurance,Accidental Death Insurance,65,$720102.37
62,Frances,Reyes,freyes1p@deviantart.com,Yonggu,72,$6157.07,Female,yes,no,0,Universal Life Insurance,Limited Pay Insurance,26,$833794.94
63,Harold,Butler,hbutler1q@facebook.com,Carrasqueira,63,$962352.81,Male,yes,no,1,Term Insurance,Whole Life Insurance,63,$536791.84
64,Antonio,Arnold,aarnold1r@bloglines.com,Digby,25,$78216.52,Male,yes,no,3,Endowment Insurance,Whole Life Insurance,45,$536779.22
65,Gerald,Harper,gharper1s@studiopress.com,Rennes,56,$180906.50,Male,no,yes,3,Whole Life Insurance,Limited Pay Insurance,55,$869131.44
66,Daniel,Howell,dhowell1t@smh.com.au,Tanshan,27,$281153.81,Male,yes,no,2,Accidental Death Insurance,Accidental Death Insurance,62,$329593.73
67,Cynthia,Taylor,ctaylor1u@infoseek.co.jp,Yongle,61,$719684.60,Female,yes,no,1,Limited Pay Insurance,Limited Pay Insurance,63,$588475.45
68,Aaron,Spencer,aspencer1v@simplemachines.org,Pedreira,36,$261188.74,Male,yes,yes,1,Whole Life Insurance,Limited Pay Insurance,63,$905115.12
69,Amy,Nelson,anelson1w@abc.net.au,Verdun,73,$605133.56,Female,yes,yes,0,Endowment Insurance,Limited Pay Insurance,37,$640498.09
70,Justin,Ray,jray1x@spotify.com,Lubbock,45,$998750.46,Male,no,no,2,Limited Pay Insurance,Universal Life Insurance,80,$462467.52
71,Annie,Andrews,aandrews1y@youtu.be,Mucifal,54,$951601.11,Female,yes,yes,0,Limited Pay Insurance,Universal Life Insurance,33,$189476.22
72,Samuel,Kennedy,skennedy1z@nps.gov,Orong,60,$972228.46,Male,no,no,2,Accidental Death Insurance,Universal Life Insurance,75,$23655.67
73,Juan,Martinez,jmartinez20@facebook.com,Nariño,71,$510437.48,Male,yes,no,2,Term Insurance,Whole Life Insurance,63,$753895.48
74,Christopher,Tucker,ctucker21@altervista.org,Ballyboden,80,$7078.71,Male,yes,no,2,Whole Life Insurance,Universal Life Insurance,72,$447615.46
75,Antonio,Phillips,aphillips22@liveinternet.ru,Bagan,73,$69724.13,Male,no,no,2,Limited Pay Insurance,Limited Pay Insurance,29,$972703.30
76,Beverly,Cook,bcook23@nsw.gov.au,Novomyshastovskaya,68,$459185.58,Female,yes,no,3,Endowment Insurance,Universal Life Insurance,52,$541100.63
77,Fred,Morgan,fmorgan24@howstuffworks.com,Boden,52,$531250.19,Male,no,no,3,Whole Life Insurance,Whole Life Insurance,22,$36424.01
78,Maria,Riley,mriley25@nyu.edu,Lidingö,36,$938386.79,Female,yes,yes,2,Whole Life Insurance,Whole Life Insurance,74,$19450.28
79,Peter,Alexander,palexander26@nytimes.com,Chóra,40,$658502.70,Male,no,no,1,Whole Life Insurance,Whole Life Insurance,59,$544069.82
80,Rose,Mills,rmills27@xing.com,Mozdok,43,$848251.86,Female,yes,yes,3,Limited Pay Insurance,Term Insurance,30,$671264.67
81,Walter,Grant,wgrant28@phpbb.com,San Fernando,61,$674042.24,Male,yes,yes,2,Whole Life Insurance,Limited Pay Insurance,24,$420199.14
82,Marilyn,Murphy,mmurphy29@360.cn,Waerana,35,$226214.16,Female,no,no,2,Whole Life Insurance,Whole Life Insurance,77,$888217.87
83,Bruce,Stewart,bstewart2a@cam.ac.uk,Guizi,66,$796600.80,Male,yes,no,0,Accidental Death Insurance,Term Insurance,40,$201959.35
84,Gary,Lewis,glewis2b@slashdot.org,Zhemtala,49,$59690.50,Male,yes,yes,0,Limited Pay Insurance,Accidental Death Insurance,30,$351046.15
85,Billy,Willis,bwillis2c@omniture.com,Goiatuba,28,$165531.45,Male,yes,no,2,Endowment Insurance,Endowment Insurance,79,$44943.79
86,Ernest,Alexander,ealexander2d@flickr.com,Phra Pradaeng,30,$752192.35,Male,no,no,0,Limited Pay Insurance,Whole Life Insurance,79,$351175.25
87,Janice,Howard,jhoward2e@linkedin.com,Cheremshan,53,$599875.75,Female,no,yes,3,Accidental Death Insurance,Universal Life Insurance,37,$187282.39
88,Lois,Arnold,larnold2f@dagondesign.com,Novyye Gorki,52,$934619.59,Female,no,yes,0,Universal Life Insurance,Universal Life Insurance,42,$588417.01
89,Carol,Burke,cburke2g@mit.edu,Huangnaihai,54,$814847.88,Female,no,no,2,Limited Pay Insurance,Endowment Insurance,79,$554059.88
90,Diana,Price,dprice2h@printfriendly.com,Nynäshamn,63,$650282.50,Female,no,yes,1,Whole Life Insurance,Endowment Insurance,20,$999518.94
91,Ronald,Price,rprice2i@bigcartel.com,Czarna Woda,47,$399738.10,Male,no,no,0,Universal Life Insurance,Endowment Insurance,29,$158161.12
92,Nicholas,Collins,ncollins2j@bing.com,Mombetsu,47,$324844.51,Male,yes,no,0,Universal Life Insurance,Limited Pay Insurance,25,$348592.94
93,Rebecca,Elliott,relliott2k@discovery.com,Garoua,71,$650582.56,Female,yes,no,2,Accidental Death Insurance,Endowment Insurance,27,$659377.86
94,Amanda,Hughes,ahughes2l@fema.gov,Chejiazhuang,36,$663471.66,Female,no,no,3,Universal Life Insurance,Endowment Insurance,46,$303464.49
95,Mildred,Carr,mcarr2m@latimes.com,Huangtang,23,$396919.64,Female,no,yes,3,Accidental Death Insurance,Limited Pay Insurance,80,$152730.20
96,Ralph,Edwards,redwards2n@yellowbook.com,Ceelbuur,34,$875351.00,Male,yes,no,0,Whole Life Insurance,Universal Life Insurance,50,$253531.78
97,Jeffrey,Mcdonald,jmcdonald2o@sina.com.cn,Faisalābād,67,$801689.23,Male,yes,no,3,Limited Pay Insurance,Universal Life Insurance,72,$710765.98
98,Betty,Lawson,blawson2p@amazon.com,Bestala,41,$931696.37,Female,no,no,1,Term Insurance,Universal Life Insurance,40,$209216.28
99,Frank,Vasquez,fvasquez2q@eventbrite.com,Longmen,28,$276071.23,Male,no,no,1,Term Insurance,Limited Pay Insurance,56,$165129.23
100,Stephanie,Cole,scole2r@php.net,Nacka,56,$277470.68,Female,no,no,0,Term Insurance,Term Insurance,31,$7602.22
101,Andrew,Mcdonald,amcdonald2s@yelp.com,Smolenskaya,26,$452634.40,Male,yes,yes,1,Universal Life Insurance,Limited Pay Insurance,51,$903624.81
102,Annie,Howell,ahowell2t@rakuten.co.jp,Penha,77,$729724.02,Female,yes,yes,3,Accidental Death Insurance,Accidental Death Insurance,69,$103934.96
103,Elizabeth,Garcia,egarcia2u@scientificamerican.com,Lakshmīpur,40,$144529.41,Female,no,no,0,Accidental Death Insurance,Accidental Death Insurance,78,$572829.70
104,Denise,Burton,dburton2v@addtoany.com,Jiangkou,23,$137982.50,Female,no,no,3,Universal Life Insurance,Accidental Death Insurance,53,$282502.77
105,Pamela,Mason,pmason2w@marketwatch.com,Mbuji-Mayi,48,$750712.66,Female,no,yes,3,Whole Life Insurance,Limited Pay Insurance,61,$926552.20
106,Lawrence,Anderson,landerson2x@google.cn,Longmen,55,$138627.85,Male,no,no,3,Limited Pay Insurance,Term Insurance,28,$309993.67
107,Roy,Arnold,rarnold2y@hatena.ne.jp,Lebel-sur-Quévillon,50,$382223.20,Male,yes,yes,2,Term Insurance,Limited Pay Insurance,73,$211782.59
108,Robin,Jones,rjones2z@samsung.com,Dabaozi,44,$824328.63,Female,yes,yes,2,Endowment Insurance,Universal Life Insurance,25,$682917.41
109,Tammy,Burton,tburton30@slideshare.net,Pingli,54,$274568.69,Female,yes,no,0,Universal Life Insurance,Limited Pay Insurance,37,$64636.52
110,Michael,Myers,mmyers31@cnbc.com,Ijuw,50,$971402.15,Male,no,yes,1,Accidental Death Insurance,Accidental Death Insurance,52,$584124.03
111,Jose,Johnston,jjohnston32@jimdo.com,Huangtang,54,$281448.35,Male,yes,yes,3,Endowment Insurance,Term Insurance,78,$641190.56
112,Albert,Rose,arose33@mysql.com,Sinubong,25,$360938.23,Male,yes,no,3,Universal Life Insurance,Endowment Insurance,73,$857215.54
113,Ashley,Dean,adean34@sciencedirect.com,Jubao,52,$83801.36,Female,yes,no,3,Accidental Death Insurance,Limited Pay Insurance,49,$490571.99
114,Harry,Kelly,hkelly35@wiley.com,Kuala Lumpur,42,$529605.54,Male,yes,yes,1,Endowment Insurance,Term Insurance,30,$26316.06
115,Marie,Tucker,mtucker36@ed.gov,Añatuya,54,$445770.24,Female,yes,yes,2,Whole Life Insurance,Universal Life Insurance,53,$638761.36
116,Benjamin,Morris,bmorris37@adobe.com,Kuala Lumpur,32,$674474.66,Male,yes,no,2,Universal Life Insurance,Accidental Death Insurance,56,$778232.05
117,Jesse,Ruiz,jruiz38@telegraph.co.uk,Areni,25,$816141.65,Male,no,no,1,Accidental Death Insurance,Accidental Death Insurance,30,$192223.01
118,Jane,Lewis,jlewis39@webs.com,Beicang,25,$50791.16,Female,yes,no,2,Term Insurance,Limited Pay Insurance,78,$360563.01
119,Matthew,Berry,mberry3a@google.com.au,Paraipaba,22,$415606.44,Male,no,no,2,Term Insurance,Limited Pay Insurance,47,$894635.93
120,Brian,Riley,briley3b@nsw.gov.au,Megáli Khóra,64,$463651.41,Male,no,no,1,Whole Life Insurance,Endowment Insurance,72,$911235.79
121,Roger,Cox,rcox3c@i2i.jp,Ludishan,63,$314554.08,Male,no,yes,3,Endowment Insurance,Whole Life Insurance,50,$731211.75
122,Matthew,Cruz,mcruz3d@mapquest.com,Concepcion,72,$718654.26,Male,yes,yes,2,Universal Life Insurance,Endowment Insurance,52,$747041.85
123,Andrew,Cox,acox3e@columbia.edu,Vathýlakkos,52,$990893.44,Male,yes,yes,3,Term Insurance,Endowment Insurance,58,$254922.35
124,Donna,Hart,dhart3f@aboutads.info,Wumahe,25,$178386.97,Female,yes,yes,1,Limited Pay Insurance,Limited Pay Insurance,29,$659207.89
125,James,Spencer,jspencer3g@kickstarter.com,Fushëkuqe,70,$287328.62,Male,yes,no,2,Accidental Death Insurance,Endowment Insurance,61,$332629.20
126,Julie,Patterson,jpatterson3h@vimeo.com,Fartura,58,$733380.78,Female,yes,yes,3,Limited Pay Insurance,Accidental Death Insurance,23,$864549.56
127,Arthur,Fernandez,afernandez3i@state.gov,Łaziska Górne,35,$801597.08,Male,yes,yes,1,Accidental Death Insurance,Accidental Death Insurance,46,$818149.45
128,Todd,Bailey,tbailey3j@slideshare.net,Cigoong,64,$776535.84,Male,no,no,1,Limited Pay Insurance,Whole Life Insurance,21,$816159.73
129,Daniel,Knight,dknight3k@bloglovin.com,Trzemeszno,80,$713468.67,Male,no,no,2,Endowment Insurance,Whole Life Insurance,71,$395513.31
130,Jeremy,Shaw,jshaw3l@senate.gov,Kunduz,21,$686125.33,Male,yes,yes,2,Universal Life Insurance,Whole Life Insurance,79,$302952.77
131,Jeffrey,Coleman,jcoleman3m@msu.edu,Granja,74,$998144.17,Male,no,yes,1,Limited Pay Insurance,Whole Life Insurance,70,$944575.85
132,Daniel,James,djames3n@spotify.com,Turar Ryskulov,29,$779108.99,Male,no,yes,1,Universal Life Insurance,Term Insurance,75,$200314.89
133,Charles,Young,cyoung3o@goodreads.com,Oslo,71,$627047.92,Male,yes,yes,0,Endowment Insurance,Universal Life Insurance,30,$827732.71
134,Anthony,Franklin,afranklin3p@e-recht24.de,Esquel,35,$142343.09,Male,no,no,1,Universal Life Insurance,Limited Pay Insurance,52,$112590.52
135,Adam,Sanders,asanders3q@salon.com,Jundiaí,31,$692528.80,Male,no,no,2,Universal Life Insurance,Universal Life Insurance,34,$734972.75
136,Kathryn,Ross,kross3r@scribd.com,Unidos,25,$444396.14,Female,yes,yes,0,Limited Pay Insurance,Limited Pay Insurance,26,$966660.06
137,Wayne,Richardson,wrichardson3s@cbsnews.com,Daitou,76,$967190.50,Male,no,no,3,Limited Pay Insurance,Whole Life Insurance,57,$488589.94
138,Donald,King,dking3t@dedecms.com,Serh,54,$876317.87,Male,yes,yes,2,Accidental Death Insurance,Universal Life Insurance,25,$151866.57
139,Adam,Wagner,awagner3u@usa.gov,Killarney,72,$163932.74,Male,no,no,3,Accidental Death Insurance,Endowment Insurance,67,$93886.98
140,Frank,White,fwhite3v@artisteer.com,Yaozhanzi,50,$617782.41,Male,no,no,1,Term Insurance,Whole Life Insurance,55,$534681.53
141,Debra,Gray,dgray3w@alexa.com,Calubcub Dos,55,$620148.66,Female,no,no,1,Term Insurance,Universal Life Insurance,35,$841710.27
142,Beverly,Cooper,bcooper3x@typepad.com,Göteborg,20,$315767.19,Female,no,no,1,Term Insurance,Limited Pay Insurance,25,$598050.08
143,Walter,Harrison,wharrison3y@yahoo.com,Knoxville,36,$114993.08,Male,no,yes,3,Universal Life Insurance,Limited Pay Insurance,41,$900380.08
144,Karen,Evans,kevans3z@sfgate.com,Jiekou,67,$552252.22,Female,yes,yes,1,Whole Life Insurance,Endowment Insurance,48,$534572.59
145,Louise,Owens,lowens40@wix.com,Futang,22,$235420.91,Female,no,no,0,Term Insurance,Endowment Insurance,22,$578733.99
146,Jacqueline,Foster,jfoster41@auda.org.au,Dinan,27,$3438.21,Female,no,yes,1,Universal Life Insurance,Endowment Insurance,79,$217032.46
147,Louis,Lee,llee42@time.com,Sidaohezi,43,$55670.13,Male,no,yes,0,Term Insurance,Endowment Insurance,52,$354892.54
148,Wanda,Wilson,wwilson43@fotki.com,Manola,73,$285710.70,Female,yes,yes,2,Accidental Death Insurance,Term Insurance,70,$781805.15
149,Norma,Kelley,nkelley44@google.es,Lipnica Wielka,46,$151446.49,Female,no,yes,3,Whole Life Insurance,Universal Life Insurance,22,$377497.29
150,Heather,Perez,hperez45@plala.or.jp,Kore,54,$911011.98,Female,yes,no,1,Limited Pay Insurance,Limited Pay Insurance,58,$375794.27
151,Susan,Patterson,spatterson46@sun.com,Rajhrad,54,$364940.69,Female,yes,yes,3,Whole Life Insurance,Universal Life Insurance,80,$620591.67
152,Barbara,Walker,bwalker47@dyndns.org,Holoriang,51,$327366.51,Female,no,yes,2,Term Insurance,Accidental Death Insurance,57,$250862.77
153,Rebecca,Arnold,rarnold48@columbia.edu,Spirit River,61,$88576.75,Female,no,no,3,Endowment Insurance,Term Insurance,22,$225322.46
154,Norma,Lee,nlee49@t.co,Dongzha,42,$638044.00,Female,no,yes,0,Endowment Insurance,Term Insurance,24,$206242.15
155,Betty,Campbell,bcampbell4a@nationalgeographic.com,Rawaapu,63,$577916.59,Female,no,yes,1,Term Insurance,Accidental Death Insurance,54,$610367.35
156,Tina,Coleman,tcoleman4b@godaddy.com,Baiyanghe,31,$280628.41,Female,no,yes,0,Term Insurance,Universal Life Insurance,50,$989707.28
157,Karen,Henderson,khenderson4c@networkadvertising.org,Chaguaramas,77,$562254.94,Female,no,yes,3,Term Insurance,Whole Life Insurance,25,$85299.82
158,Brenda,Oliver,boliver4d@is.gd,Haoguantun,34,$97951.66,Female,no,yes,1,Whole Life Insurance,Term Insurance,42,$251174.51
159,Steve,Simpson,ssimpson4e@ebay.co.uk,Montes,35,$232403.00,Male,yes,no,2,Limited Pay Insurance,Endowment Insurance,24,$148726.36
160,Phillip,Oliver,poliver4f@printfriendly.com,Saint-Chamond,56,$283690.02,Male,yes,yes,3,Limited Pay Insurance,Endowment Insurance,56,$256486.59
161,Ralph,Montgomery,rmontgomery4g@g.co,Longquan,76,$192329.08,Male,yes,no,2,Term Insurance,Whole Life Insurance,38,$179879.84
162,Willie,Hernandez,whernandez4h@weather.com,Trieste,58,$642437.95,Male,yes,no,0,Whole Life Insurance,Accidental Death Insurance,52,$689936.68
163,Shawn,Payne,spayne4i@sciencedaily.com,Lacabamba,33,$724762.64,Male,no,no,1,Accidental Death Insurance,Limited Pay Insurance,78,$710023.18
164,Benjamin,Bryant,bbryant4j@nasa.gov,Bayt Ūlā,39,$98044.49,Male,no,yes,3,Limited Pay Insurance,Endowment Insurance,50,$183050.57
165,Jack,Long,jlong4k@un.org,Atamyrat,47,$399409.73,Male,no,no,1,Universal Life Insurance,Accidental Death Insurance,36,$80737.21
166,Carol,Mason,cmason4l@japanpost.jp,Kardamás,80,$201789.53,Female,yes,yes,2,Endowment Insurance,Accidental Death Insurance,44,$309553.59
167,Marilyn,Greene,mgreene4m@netlog.com,Łęki Szlacheckie,25,$710905.12,Female,yes,yes,1,Universal Life Insurance,Limited Pay Insurance,24,$852187.65
168,Teresa,Wallace,twallace4n@wikimedia.org,Kamyshevatskaya,21,$308237.03,Female,yes,yes,1,Endowment Insurance,Term Insurance,28,$135415.41
169,Victor,Diaz,vdiaz4o@taobao.com,Sidomekar,35,$817386.65,Male,no,no,0,Universal Life Insurance,Limited Pay Insurance,56,$543511.32
170,Jeffrey,Martin,jmartin4p@paginegialle.it,Ebak,65,$463556.88,Male,yes,no,1,Endowment Insurance,Accidental Death Insurance,70,$933218.04
171,Carl,Kelly,ckelly4q@rakuten.co.jp,Xinjie,34,$346382.98,Male,no,yes,0,Accidental Death Insurance,Universal Life Insurance,75,$625448.17
172,Anne,Hanson,ahanson4r@dailymail.co.uk,Ngroto,22,$784831.59,Female,yes,yes,3,Accidental Death Insurance,Limited Pay Insurance,68,$578527.70
173,Diana,Willis,dwillis4s@reverbnation.com,Foshan,66,$36945.81,Female,no,yes,3,Accidental Death Insurance,Endowment Insurance,64,$106893.09
174,Carol,Cox,ccox4t@vinaora.com,Budapest,49,$496292.50,Female,no,no,2,Whole Life Insurance,Universal Life Insurance,49,$369155.33
175,Russell,Garcia,rgarcia4u@washingtonpost.com,Chattanooga,79,$234731.83,Male,yes,yes,0,Term Insurance,Accidental Death Insurance,63,$371100.84
176,Billy,Foster,bfoster4v@discovery.com,Bassa,26,$209045.41,Male,yes,no,0,Accidental Death Insurance,Whole Life Insurance,58,$853680.42
177,Jennifer,Powell,jpowell4w@wikispaces.com,Tampakan,45,$190019.95,Female,no,yes,1,Whole Life Insurance,Endowment Insurance,40,$499724.32
178,Shirley,Olson,solson4x@alibaba.com,Chengbei,51,$367888.37,Female,yes,yes,2,Term Insurance,Accidental Death Insurance,77,$468107.66
179,Albert,Fisher,afisher4y@php.net,Il’inskiy,62,$336152.11,Male,yes,yes,3,Endowment Insurance,Term Insurance,44,$851413.64
180,Melissa,Carter,mcarter4z@oracle.com,Saronída,56,$462265.67,Female,yes,no,0,Whole Life Insurance,Whole Life Insurance,76,$363075.85
181,Philip,Washington,pwashington50@yandex.ru,Kizema,33,$817175.98,Male,no,no,3,Term Insurance,Term Insurance,76,$559710.45
